epoch,dt_utc,event,dir,mag,price,src
1721192400,2024-07-17 05:00,COMPRESSION,0,3.7,2470.2,REF_H1_YAHOO
1721196000,2024-07-17 06:00,COMPRESSION,0,3.56,2471.4,REF_H1_YAHOO
1721199600,2024-07-17 07:00,COMPRESSION,0,3.04,2479.1,REF_H1_YAHOO
1721203200,2024-07-17 08:00,COMPRESSION,0,3.03,2479.6,REF_H1_YAHOO
1721203200,2024-07-17 08:00,FVG_UP,1,0.52,2479.6,REF_H1_YAHOO
1721206800,2024-07-17 09:00,COMPRESSION,0,3.04,2479.5,REF_H1_YAHOO
1721206800,2024-07-17 09:00,FVG_FILL,1,1,2474.3999999999996,REF_H1_YAHOO
1721210400,2024-07-17 10:00,COMPRESSION,0,3.0,2472.3,REF_H1_YAHOO
1721214000,2024-07-17 11:00,COMPRESSION,0,2.98,2474.6,REF_H1_YAHOO
1721217600,2024-07-17 12:00,COMPRESSION,0,2.96,2478.2,REF_H1_YAHOO
1721221200,2024-07-17 13:00,COMPRESSION,0,3.02,2487.7,REF_H1_YAHOO
1721221200,2024-07-17 13:00,BREAKOUT_UP,1,0.04,2487.7,REF_H1_YAHOO
1721221200,2024-07-17 13:00,TREND_ACCEL,1,1.73,2487.7,REF_H1_YAHOO
1721224800,2024-07-17 14:00,COMPRESSION,0,3.08,2468.0,REF_H1_YAHOO
1721224800,2024-07-17 14:00,VOL_EXPLOSION,-1,3.08,2468.0,REF_H1_YAHOO
1721224800,2024-07-17 14:00,DISPLACEMENT,-1,2.62,2468.0,REF_H1_YAHOO
1721224800,2024-07-17 14:00,SFP_HIGH,-1,0.03,2468.0,REF_H1_YAHOO
1721228400,2024-07-17 15:00,COMPRESSION,0,3.51,2468.0,REF_H1_YAHOO
1721228400,2024-07-17 15:00,FVG_DN,-1,0.68,2468.0,REF_H1_YAHOO
1721232000,2024-07-17 16:00,COMPRESSION,0,4.19,2459.9,REF_H1_YAHOO
1721235600,2024-07-17 17:00,COMPRESSION,0,4.32,2456.7,REF_H1_YAHOO
1721235600,2024-07-17 17:00,BREAKOUT_DN,-1,0.05,2456.7,REF_H1_YAHOO
1721239200,2024-07-17 18:00,COMPRESSION,0,4.43,2462.1,REF_H1_YAHOO
1721239200,2024-07-17 18:00,SFP_LOW,1,0.07,2462.1,REF_H1_YAHOO
1721242800,2024-07-17 19:00,COMPRESSION,0,4.52,2462.3,REF_H1_YAHOO
1721246400,2024-07-17 20:00,COMPRESSION,0,4.55,2463.1,REF_H1_YAHOO
1721246400,2024-07-17 20:00,FALSE_BREAK,1,0,2487.4,REF_H1_YAHOO
1721253600,2024-07-17 22:00,COMPRESSION,0,4.57,2462.6,REF_H1_YAHOO
1721257200,2024-07-17 23:00,COMPRESSION,0,4.58,2465.0,REF_H1_YAHOO
1721260800,2024-07-18 00:00,COMPRESSION,0,4.55,2462.4,REF_H1_YAHOO
1721264400,2024-07-18 01:00,COMPRESSION,0,4.48,2466.0,REF_H1_YAHOO
1721264400,2024-07-18 01:00,FALSE_BREAK,-1,0,2457.1,REF_H1_YAHOO
1721271600,2024-07-18 03:00,FVG_UP,1,0.11,2471.7,REF_H1_YAHOO
1721275200,2024-07-18 04:00,COMPRESSION,0,2.31,2468.8,REF_H1_YAHOO
1721275200,2024-07-18 04:00,FVG_FILL,1,1,2468.3,REF_H1_YAHOO
1721278800,2024-07-18 05:00,COMPRESSION,0,2.44,2470.4,REF_H1_YAHOO
1721278800,2024-07-18 05:00,FVG_FILL,-1,13,2473.25,REF_H1_YAHOO
1721286000,2024-07-18 07:00,FVG_UP,1,0.11,2475.3,REF_H1_YAHOO
1721289600,2024-07-18 08:00,COMPRESSION,0,2.34,2469.4,REF_H1_YAHOO
1721289600,2024-07-18 08:00,FVG_FILL,1,1,2473.8,REF_H1_YAHOO
1721293200,2024-07-18 09:00,COMPRESSION,0,2.36,2468.9,REF_H1_YAHOO
1721293200,2024-07-18 09:00,FVG_DN,-1,0.43,2468.9,REF_H1_YAHOO
1721296800,2024-07-18 10:00,COMPRESSION,0,2.37,2467.3,REF_H1_YAHOO
1721300400,2024-07-18 11:00,COMPRESSION,0,2.39,2467.7,REF_H1_YAHOO
1721304000,2024-07-18 12:00,COMPRESSION,0,2.37,2467.2,REF_H1_YAHOO
1721307600,2024-07-18 13:00,COMPRESSION,0,2.46,2467.4,REF_H1_YAHOO
1721311200,2024-07-18 14:00,COMPRESSION,0,2.49,2471.7,REF_H1_YAHOO
1721311200,2024-07-18 14:00,FVG_FILL,-1,5,2472.6,REF_H1_YAHOO
1721314800,2024-07-18 15:00,COMPRESSION,0,2.56,2464.4,REF_H1_YAHOO
1721318400,2024-07-18 16:00,COMPRESSION,0,2.81,2459.1,REF_H1_YAHOO
1721322000,2024-07-18 17:00,COMPRESSION,0,3.52,2459.3,REF_H1_YAHOO
1721322000,2024-07-18 17:00,SFP_LOW,1,0.16,2459.3,REF_H1_YAHOO
1721322000,2024-07-18 17:00,FVG_DN,-1,0.57,2459.3,REF_H1_YAHOO
1721325600,2024-07-18 18:00,COMPRESSION,0,3.63,2454.3,REF_H1_YAHOO
1721325600,2024-07-18 18:00,BREAKOUT_DN,-1,0.01,2454.3,REF_H1_YAHOO
1721329200,2024-07-18 19:00,BREAKOUT_DN,-1,1.16,2445.6,REF_H1_YAHOO
1721340000,2024-07-18 22:00,COMPRESSION,0,4.31,2446.8,REF_H1_YAHOO
1721343600,2024-07-18 23:00,COMPRESSION,0,4.29,2443.7,REF_H1_YAHOO
1721347200,2024-07-19 00:00,BREAKOUT_DN,-1,0.77,2437.3,REF_H1_YAHOO
1721347200,2024-07-19 00:00,FVG_DN,-1,0.3,2437.3,REF_H1_YAHOO
1721347200,2024-07-19 00:00,TREND_ACCEL,-1,2.03,2437.3,REF_H1_YAHOO
1721350800,2024-07-19 01:00,BREAKOUT_DN,-1,0.04,2428.7,REF_H1_YAHOO
1721350800,2024-07-19 01:00,FVG_DN,-1,0.81,2428.7,REF_H1_YAHOO
1721354400,2024-07-19 02:00,TRUE_BREAK,-1,0,2454.4,REF_H1_YAHOO
1721358000,2024-07-19 03:00,TRUE_BREAK,-1,0,2453.6,REF_H1_YAHOO
1721368800,2024-07-19 06:00,BREAKOUT_DN,-1,0.13,2422.3,REF_H1_YAHOO
1721368800,2024-07-19 06:00,FVG_DN,-1,0.01,2422.3,REF_H1_YAHOO
1721372400,2024-07-19 07:00,SFP_LOW,1,0.22,2420.4,REF_H1_YAHOO
1721372400,2024-07-19 07:00,TRUE_BREAK,-1,0,2442.9,REF_H1_YAHOO
1721376000,2024-07-19 08:00,FALSE_BREAK,-1,0,2429.0,REF_H1_YAHOO
1721383200,2024-07-19 10:00,BREAKOUT_DN,-1,0.1,2414.6,REF_H1_YAHOO
1721383200,2024-07-19 10:00,FVG_DN,-1,0.01,2414.6,REF_H1_YAHOO
1721386800,2024-07-19 11:00,BREAKOUT_DN,-1,0.07,2412.1,REF_H1_YAHOO
1721386800,2024-07-19 11:00,FVG_DN,-1,0.06,2412.1,REF_H1_YAHOO
1721390400,2024-07-19 12:00,BREAKOUT_DN,-1,0.68,2405.8,REF_H1_YAHOO
1721390400,2024-07-19 12:00,FVG_DN,-1,0.04,2405.8,REF_H1_YAHOO
1721394000,2024-07-19 13:00,TRUE_BREAK,-1,0,2423.2,REF_H1_YAHOO
1721394000,2024-07-19 13:00,FVG_DN,-1,0.26,2405.8,REF_H1_YAHOO
