epoch,state,net,range
1721001600,S1,-0.40,9.10
1721023200,S2,10.00,19.30
1721044800,S4,3.10,28.70
1721066400,S5,0.80,5.00
1721088000,S2,9.40,13.00
1721109600,S2,7.80,15.80
1721131200,S4,25.40,37.80
1721152800,S2,3.50,7.50
1721174400,S4,-2.80,18.40
1721196000,S1,4.40,16.80
1721217600,S4,-17.90,32.40
1721239200,S2,8.40,10.00
1721260800,S1,5.40,12.30
1721282400,S1,-2.60,13.80
1721304000,S1,-8.60,18.80
1721325600,S3,-15.60,16.60
1721347200,S3,-18.00,20.60
1721368800,S3,-13.60,15.90
1721390400,S3,-11.40,16.60
1721606400,S3,-8.90,9.90
1721628000,S1,-4.80,10.60
1721649600,S1,-4.20,16.60
1721671200,S1,1.40,8.00
1721692800,S1,-3.30,13.50
1721714400,S2,15.50,24.30
1721736000,S1,-3.00,10.20
1721757600,S5,3.30,6.10
1721779200,S2,7.70,13.90
1721800800,S1,1.50,9.70
1721822400,S4,-8.90,24.60
1721844000,S3,-10.70,17.30
1721865600,S6,-40.10,50.00
1721887200,S4,-7.90,17.10
1721908800,S3,-12.40,25.10
1721930400,S5,7.40,11.20
1721952000,S1,9.80,23.40
1721973600,S5,-0.90,10.90
1721995200,S2,10.60,20.00
1722211200,S1,-5.40,13.70
1722232800,S1,-4.40,8.40
1722254400,S4,-10.80,27.20
1722276000,S1,2.60,8.50
1722297600,S2,5.90,12.80
1722319200,S6,45.80,54.00
1722340800,S6,18.90,74.60
1722362400,S5,3.90,9.60
1722384000,S5,7.30,17.80
1722405600,S1,1.90,10.00
1722427200,S5,6.70,12.30
1722448800,S5,18.70,30.10
1722470400,S5,0.40,21.20
1722492000,S5,-5.90,18.90
1722513600,S1,-1.90,27.10
1722535200,S2,6.80,13.40
1722556800,S2,21.30,32.00
1722578400,S3,-8.00,11.60
1722600000,S6,-32.80,69.40
1722816000,S4,-3.50,45.10
1722837600,S3,-52.80,62.00
1722859200,S4,19.30,49.00
1722880800,S1,-0.30,9.80
1722902400,S1,-6.80,21.00
1722924000,S2,12.30,22.50
1722945600,S1,-17.50,31.10
1722967200,S5,-8.70,13.80
1722988800,S1,7.10,17.40
1723010400,S2,10.10,14.70
1723032000,S1,-11.40,17.70
1723053600,S3,-6.10,11.80
1723075200,S2,10.30,12.80
1723096800,S2,17.40,21.60
1723118400,S2,11.30,23.30
1723140000,S1,0.80,6.80
1723161600,S1,-7.60,12.30
1723183200,S2,9.60,16.10
1723204800,S1,4.10,16.50
1723420800,S2,6.60,11.10
1723442400,S2,7.30,11.90
1723464000,S2,26.40,28.00
1723485600,S2,8.60,10.30
1723507200,S3,-12.60,18.60
1723528800,S1,2.20,8.20
1723550400,S1,2.00,16.70
1723572000,S3,-3.70,6.80
1723593600,S1,-2.40,17.70
1723615200,S2,12.30,18.30
1723636800,S3,-33.90,43.50
1723658400,S5,6.90,8.00
1723680000,S2,4.60,13.30
1723701600,S5,9.50,11.70
1723723200,S6,-8.10,38.80
1723744800,S5,1.40,7.60
1723766400,S1,-1.80,9.50
1723788000,S2,16.90,20.90
1723809600,S4,28.20,29.40
1724025600,S1,-5.30,11.90
1724047200,S1,-6.80,21.40
1724068800,S2,8.70,22.10
1724090400,S5,0.30,4.10
1724112000,S1,-4.60,9.90
1724133600,S2,27.60,30.40
1724155200,S4,-16.20,31.80
1724176800,S1,2.40,7.80
1724198400,S1,1.90,9.20
1724220000,S1,-3.20,14.90
1724241600,S1,-2.70,23.80
1724263200,S5,2.50,10.30
1724284800,S1,-7.80,15.30
1724306400,S1,-6.40,13.50
1724328000,S3,-18.10,35.50
1724349600,S2,4.90,8.80
1724371200,S1,4.40,9.40
1724392800,S2,9.80,12.00
1724414400,S2,9.60,24.40
1724630400,S3,-5.30,8.30
1724652000,S2,16.10,17.30
1724673600,S3,-8.30,17.10
1724695200,S3,-3.10,6.30
1724716800,S1,-2.20,11.10
1724738400,S4,-2.00,14.20
1724760000,S2,9.00,18.20
1724781600,S2,5.10,9.10
1724803200,S3,-20.10,20.80
1724824800,S1,-4.50,17.70
1724846400,S1,3.70,17.70
1724868000,S1,1.40,6.70
1724889600,S2,10.90,12.20
1724911200,S1,1.20,9.60
1724932800,S2,6.00,25.70
1724954400,S5,-6.80,8.00
1724976000,S3,-5.40,7.90
1724997600,S1,5.60,13.60
1725019200,S3,-20.50,31.50
1725235200,S3,-6.70,15.10
1725343200,S1,-5.20,22.20
1725364800,S4,-0.30,29.80
1725386400,S5,3.70,7.60
1725408000,S1,-0.40,6.00
1725429600,S1,-4.20,22.00
1725451200,S1,5.20,18.70
1725472800,S5,0.60,5.50
1725494400,S5,5.90,9.60
1725516000,S2,13.50,17.90
1725537600,S1,0.00,20.30
1725559200,S5,1.60,3.90
1725580800,S5,2.80,9.10
1725602400,S1,-3.90,7.10
1725624000,S6,-21.30,45.90
1725840000,S4,-9.30,13.20
1725861600,S2,9.50,14.10
1725883200,S1,2.50,13.60
1725904800,S5,6.60,8.10
1725926400,S5,-2.80,6.70
1725948000,S1,0.50,9.80
1725969600,S1,8.40,17.80
1725991200,S5,5.70,7.00
1726012800,S2,2.70,8.40
1726034400,S1,0.80,9.20
1726056000,S4,-7.60,22.80
1726077600,S5,-3.70,6.90
1726099200,S2,7.60,8.80
1726120800,S1,0.20,9.10
1726142400,S6,34.80,37.10
1726164000,S5,4.30,8.10
1726185600,S2,8.10,13.90
1726207200,S1,0.30,9.60
1726228800,S2,15.50,20.60
1726444800,S2,9.30,10.10
1726466400,S1,-5.80,14.90
1726488000,S1,-0.50,13.10
1726509600,S5,0.60,3.90
1726531200,S1,-4.50,12.20
1726552800,S1,0.60,16.80
1726574400,S4,-10.40,22.20
1726596000,S5,3.80,6.90
1726617600,S3,-6.20,11.00
1726639200,S2,9.90,14.40
1726660800,S3,-10.10,11.90
1726682400,S6,-10.30,54.70
1726704000,S4,15.00,23.90
1726725600,S2,15.60,21.90
1726747200,S4,1.40,23.90
1726768800,S5,-4.30,5.50
1726790400,S5,7.70,11.50
1726812000,S2,19.50,21.40
1726833600,S1,5.70,23.50
1727049600,S2,10.00,15.40
1727071200,S1,-5.80,16.20
1727092800,S1,4.10,15.30
1727114400,S1,-1.80,3.50
1727136000,S4,-0.90,16.10
1727157600,S1,0.80,13.90
1727179200,S4,28.00,32.30
1727200800,S1,3.90,11.00
1727222400,S4,-1.70,16.30
1727244000,S1,0.60,9.50
1727265600,S1,3.30,18.50
1727287200,S3,-5.10,6.30
1727308800,S1,4.90,8.20
1727330400,S4,21.40,27.60
1727352000,S4,-12.10,29.80
1727373600,S5,0.90,7.80
1727395200,S3,-7.70,12.00
1727416800,S1,1.10,11.10
1727438400,S4,-20.80,31.20
1727654400,S1,-6.00,18.90
1727676000,S4,-16.20,26.60
1727697600,S1,-4.20,15.80
1727719200,S5,-2.00,13.60
1727740800,S2,7.10,10.40
1727762400,S2,7.50,10.70
1727784000,S4,12.00,25.20
1727805600,S5,-2.50,7.50
1727827200,S3,-12.20,17.80
1727848800,S1,1.50,8.80
1727870400,S4,2.90,22.70
1727892000,S5,6.60,9.00
1727913600,S3,-6.80,11.10
1727935200,S4,-5.30,17.10
1727956800,S4,8.60,24.60
1727978400,S5,-1.60,6.00
1728000000,S2,11.70,12.60
1728021600,S1,-5.80,10.90
1728043200,S6,-11.20,39.00
1728259200,S3,-9.40,12.50
1728280800,S2,16.30,20.10
1728302400,S4,-9.20,21.80
1728324000,S5,-5.40,9.40
1728345600,S4,2.20,14.60
1728367200,S1,5.80,25.10
1728388800,S3,-37.00,49.00
1728410400,S5,7.60,10.60
1728432000,S1,-2.40,9.50
1728453600,S1,-0.60,13.40
1728475200,S1,-9.30,18.10
1728496800,S5,-2.90,6.30
1728518400,S1,4.50,10.70
1728540000,S1,-0.40,8.50
1728561600,S1,10.90,28.40
1728583200,S2,9.50,12.80
1728604800,S2,11.30,13.80
1728626400,S1,-0.30,11.70
1728648000,S2,15.40,21.30
1728864000,S2,11.20,17.90
1728885600,S3,-6.80,16.20
1728907200,S1,-3.60,17.70
1728928800,S1,0.40,7.50
1728950400,S3,-7.40,14.90
1728972000,S1,6.10,15.40
1728993600,S2,15.90,23.10
1729015200,S5,-3.80,7.10
1729036800,S2,9.20,12.00
1729058400,S2,8.90,16.10
1729080000,S1,-3.00,19.40
1729101600,S5,-2.00,4.40
1729123200,S2,9.40,10.90
1729144800,S1,-2.40,12.20
1729166400,S1,10.40,24.50
1729188000,S5,1.50,5.50
1729209600,S4,17.60,21.20
1729231200,S1,-1.20,11.60
1729252800,S1,6.10,15.30
1729468800,S1,1.30,11.90
1729490400,S2,9.60,14.20
1729512000,S4,-12.00,24.00
1729533600,S1,-1.60,9.20
1729555200,S2,9.10,15.20
1729576800,S1,1.60,9.90
1729598400,S2,14.90,16.90
1729620000,S5,-0.80,5.00
1729641600,S1,4.80,15.20
1729663200,S1,-1.40,10.60
1729684800,S6,-33.60,42.40
1729706400,S1,3.90,9.30
1729728000,S2,7.70,12.10
1729749600,S2,9.50,11.50
1729771200,S1,-2.70,21.20
1729792800,S5,-2.50,4.90
1729814400,S3,-4.90,11.30
1729836000,S1,-4.80,15.90
1729857600,S4,20.60,22.20
1730073600,S1,2.50,14.00
1730095200,S1,-6.00,16.40
1730116800,S2,11.50,14.80
1730138400,S1,0.30,4.40
1730160000,S1,5.60,14.90
1730181600,S1,2.00,10.90
1730203200,S4,18.10,24.50
1730224800,S2,5.10,7.50
1730246400,S2,8.50,9.60
1730268000,S1,-4.40,11.70
1730289600,S2,10.10,18.90
1730311200,S3,-4.00,5.70
1730332800,S1,-0.20,8.00
1730354400,S1,-6.00,13.20
1730376000,S6,-40.60,51.10
1730397600,S2,6.80,10.30
1730419200,S2,8.10,10.50
1730440800,S1,-2.10,12.10
1730462400,S3,-16.60,27.80
1730678400,S2,3.20,8.50
1730700000,S4,-0.90,13.70
1730721600,S1,-1.90,16.50
1730743200,S5,-2.90,4.40
1730764800,S1,-3.60,12.50
1730786400,S1,9.50,13.80
1730808000,S1,0.50,17.30
1730829600,S1,3.00,6.40
1730851200,S1,-6.70,20.00
1730872800,S6,-40.00,43.60
1730894400,S6,-35.60,56.20
1730916000,S5,-0.60,11.70
1730937600,S1,-4.60,21.20
1730959200,S1,7.40,15.70
1730980800,S2,33.60,36.50
1731002400,S1,7.50,23.70
1731024000,S5,-11.90,17.40
1731045600,S1,-3.10,15.80
1731067200,S1,-3.70,21.50
1731088800,S1,-4.00,6.10
1731283200,S3,-16.80,20.30
1731304800,S1,-6.80,16.80
1731326400,S6,-50.10,52.20
1731348000,S2,11.10,15.70
1731369600,S3,-17.40,22.20
1731391200,S1,-8.60,20.70
1731412800,S4,-0.20,25.30
1731434400,S1,0.70,7.20
1731456000,S1,6.70,15.20
1731477600,S2,5.30,11.00
1731499200,S4,-27.70,41.70
1731520800,S3,-14.20,17.70
1731542400,S3,-12.00,19.00
1731564000,S1,-4.50,23.70
1731585600,S2,19.40,27.60
1731607200,S1,-6.50,13.30
1731628800,S5,-7.50,12.30
1731650400,S2,11.00,19.10
1731672000,S1,-7.90,16.20
1731693600,S1,0.00,9.00
1731888000,S2,14.20,27.50
1731909600,S2,9.00,16.90
1731931200,S2,16.30,24.80
1731952800,S5,1.80,5.10
1731974400,S5,9.90,14.70
1731996000,S1,6.80,19.20
1732017600,S4,-1.50,18.90
1732039200,S2,6.60,8.30
1732060800,S1,2.20,7.90
1732082400,S1,-8.70,18.50
1732104000,S2,23.90,28.70
1732125600,S1,-0.70,7.90
1732147200,S1,4.60,10.20
1732168800,S2,14.70,17.10
1732190400,S1,0.30,12.60
1732212000,S1,-3.40,6.40
1732233600,S2,17.20,23.90
1732255200,S2,12.30,24.30
1732276800,S2,8.00,23.10
1732298400,S1,9.20,11.30
1732492800,S3,-54.90,61.90
1732514400,S2,21.80,26.90
1732536000,S6,-59.30,64.10
1732557600,S3,-18.60,24.70
1732579200,S1,14.00,23.80
1732600800,S1,8.80,22.70
1732622400,S3,-8.50,26.00
1732644000,S5,6.90,14.60
1732665600,S5,9.90,18.70
1732687200,S6,8.50,40.00
1732708800,S6,-13.30,48.90
1732730400,S1,-1.00,31.90
1732752000,S1,-6.00,42.00
1732860000,S1,-3.10,36.20
1732881600,S1,1.60,36.20
1733097600,S3,-22.70,48.60
1733119200,S2,18.70,46.70
1733140800,S1,-2.80,37.10
1733162400,S1,2.90,31.70
1733184000,S5,-1.40,30.10
1733205600,S5,2.50,32.60
1733227200,S5,3.40,42.40
1733248800,S5,-4.70,30.00
1733270400,S5,7.00,33.90
1733292000,S5,-3.70,30.00
1733313600,S4,7.80,45.00
1733335200,S5,-2.00,27.30
1733356800,S5,3.50,30.20
1733378400,S1,-2.50,34.10
1733400000,S3,-24.00,52.20
1733421600,S5,5.80,27.60
1733443200,S1,3.20,49.20
1733464800,S5,0.20,30.40
1733486400,S1,-3.00,38.30
1733508000,S1,-1.80,27.50
1733702400,S1,-2.20,42.10
1733724000,S2,18.40,40.60
1733745600,S1,9.10,42.90
1733767200,S5,-4.40,25.90
1733788800,S1,8.30,35.90
1733810400,S1,5.80,35.90
1733832000,S2,22.60,44.30
1733853600,S5,4.00,9.10
1733875200,S5,4.00,39.20
1733896800,S5,-0.40,41.50
1733918400,S4,29.60,57.60
1733940000,S5,-3.30,30.60
1733961600,S5,-5.40,18.20
1733983200,S5,-6.10,36.90
1734004800,S3,-31.30,67.10
1734026400,S5,-6.40,28.30
1734048000,S5,4.20,12.90
1734069600,S3,-23.90,47.20
1734091200,S1,-9.10,36.80
1734112800,S5,-10.40,29.40
1734307200,S5,1.80,12.70
1734328800,S2,11.60,26.20
1734350400,S3,-13.00,32.40
1734372000,S5,-1.10,21.10
1734393600,S5,2.10,23.90
1734415200,S3,-13.30,36.20
1734436800,S1,5.10,30.90
1734458400,S5,1.50,5.40
1734480000,S5,-0.80,10.30
1734501600,S5,-1.10,8.20
1734523200,S3,-9.70,14.50
1734544800,S6,-50.60,57.70
1734566400,S2,18.40,28.60
1734588000,S2,10.90,24.80
1734609600,S3,-23.30,29.90
1734631200,S1,1.20,9.20
1734652800,S4,5.30,14.30
1734674400,S1,4.30,9.30
1734696000,S4,26.40,39.40
1734717600,S1,-3.90,11.50
1734912000,S1,0.00,9.90
1734933600,S3,-11.50,19.60
1734955200,S1,-2.00,10.70
1734976800,S1,1.80,7.00
1734998400,S2,3.40,7.20
1735020000,S1,-3.80,8.20
1735041600,S1,4.60,11.60
1735192800,S1,1.90,7.80
1735214400,S4,3.20,17.70
1735236000,S1,5.80,8.80
1735257600,S3,-5.30,6.70
1735279200,S4,-3.20,14.30
1735300800,S4,-13.30,21.30
1735322400,S2,5.80,8.40
1735516800,S1,-3.50,8.70
1735538400,S1,-5.80,15.20
1735560000,S6,-11.00,28.50
1735581600,S1,1.50,6.90
1735603200,S1,-4.20,9.70
1735624800,S1,7.50,14.50
1735646400,S4,15.00,24.50
1735668000,S5,0.70,5.20
1735797600,S2,8.60,16.80
1735819200,S2,15.80,26.00
1735840800,S1,0.60,6.60
1735862400,S1,3.00,10.70
1735884000,S1,-2.20,11.20
1735905600,S3,-16.60,20.50
1735927200,S1,-2.70,7.50
1736121600,S3,-8.40,18.60
1736143200,S4,14.10,27.20
1736164800,S6,-11.50,37.10
1736186400,S5,-2.80,6.30
1736208000,S2,9.60,12.70
1736229600,S1,4.70,10.20
1736251200,S4,7.00,24.70
1736272800,S5,-2.90,5.50
1736294400,S1,0.20,7.80
1736316000,S1,0.10,9.00
1736337600,S4,7.70,28.10
1736359200,S1,7.50,13.30
1736380800,S1,-3.20,7.20
1736402400,S2,11.20,14.70
1736424000,S1,-1.70,15.00
1736445600,S5,7.80,9.30
