date,dow,month,asia_range,asia_net,london_range,london_net,preNY_range,preNY_net,preNY_vol,ny_open,ny_close,ny_net,ny_range,ny_close_pos,fh_net,rest_net,vol_ny,gap_open,prev_net,prev_range,took_prev_high,took_prev_low,both_swept,first_sweep,post_sweep_net,atr5
2024-07-15,0,7,11.9,-5.2,19.7,11.6,19.7,6.4,3.121,2419.5,2426.0,6.5,28.7,0.338,4.2,2.3,113829,0.0,0.0,0.0,0,0,0,none,0.0,28.7
2024-07-16,1,7,13.8,12.7,14.7,-1.1,24.0,11.7,3.231,2437.0,2473.5,36.5,38.2,0.997,10.5,26.0,124865,11.0,6.5,28.7,1,0,0,high,26.0,28.7
2024-07-17,2,7,20.8,-2.3,14.5,6.8,20.8,4.5,4.731,2478.2,2462.3,-15.9,32.9,0.207,9.5,-25.3,140763,4.7,36.5,38.2,1,0,0,high,-25.4,33.45
2024-07-18,3,7,14.3,12.4,13.8,-7.8,17.4,4.7,2.881,2467.2,2445.6,-21.6,30.3,0.089,0.2,-21.8,105962,4.9,-15.9,32.9,0,1,0,low,-13.7,33.27
2024-07-19,4,7,30.6,-24.3,20.9,-16.5,43.9,-40.8,3.033,2405.8,2400.7,-5.1,15.0,0.333,0.0,-5.0,106477,-39.8,-21.6,30.3,0,1,0,low,-5.1,32.53
2024-07-22,0,7,13.7,-8.9,19.8,-8.2,24.2,-17.0,2.877,2395.7,2400.6,4.9,16.6,0.928,-1.6,6.6,91804,-5.0,-5.1,15.0,0,1,0,low,6.5,29.02
2024-07-23,1,7,16.1,-5.0,22.4,15.3,24.3,10.4,3.253,2406.7,2408.5,1.8,9.7,0.825,-3.5,5.3,74101,6.1,4.9,16.6,1,0,0,high,5.3,26.6
2024-07-24,2,7,14.6,8.5,12.4,4.0,17.3,12.4,2.543,2422.4,2399.0,-23.4,34.3,0.009,0.3,-23.6,143775,13.9,1.8,9.7,1,1,1,high,-23.7,20.9
2024-07-25,3,7,50.0,-26.5,20.2,-0.6,53.7,-27.2,8.37,2370.3,2361.7,-8.6,24.1,0.407,-6.1,-2.5,111010,-28.7,-23.4,34.3,0,1,0,low,-2.5,21.18
2024-07-26,4,7,23.4,5.9,11.0,8.3,23.4,14.2,3.563,2376.4,2385.4,9.0,17.1,0.749,4.0,4.8,71019,14.7,-8.6,24.1,1,0,0,high,5.0,19.94
2024-07-29,0,7,13.7,-4.8,9.5,2.1,17.2,-2.6,2.989,2391.9,2380.1,-11.8,27.2,0.471,-2.0,-9.9,157505,6.5,9.0,17.1,1,1,1,high,-9.8,20.36
2024-07-30,1,7,14.2,6.9,54.6,43.9,63.7,50.8,16.62,2383.8,2452.2,68.4,74.5,0.929,55.5,13.1,102031,3.7,-11.8,27.2,1,0,0,high,12.9,22.48
2024-07-31,2,7,21.2,11.7,7.7,-1.0,21.2,10.7,3.485,2465.3,2495.3,30.0,34.0,0.962,5.9,24.0,90594,13.1,68.4,74.5,1,0,0,high,24.1,35.44
2024-08-01,3,8,21.2,-3.3,25.4,6.1,28.8,2.9,4.893,2495.0,2487.4,-7.6,28.0,0.314,2.8,-10.7,109292,-0.3,30.0,34.0,1,0,0,high,-10.4,35.38
2024-08-02,4,8,33.9,20.5,22.6,7.4,43.0,27.8,5.1,2517.0,2480.0,-37.0,65.5,0.411,-4.0,-36.8,175790,29.6,-7.6,28.0,1,1,1,high,-33.0,36.16
2024-08-05,0,8,45.1,-13.6,81.3,-55.9,97.0,-69.5,11.098,2414.2,2449.0,34.8,40.5,0.859,19.9,15.6,107609,-65.8,-37.0,65.5,0,1,0,low,14.9,45.84
2024-08-06,1,8,24.9,-8.2,25.0,-8.7,27.4,-16.8,6.927,2433.4,2428.8,-4.6,22.3,0.314,2.8,-7.4,87135,-15.6,34.8,40.5,0,0,0,none,0.0,48.5
2024-08-07,2,8,18.8,5.2,19.3,9.4,28.5,14.8,3.441,2444.3,2425.5,-18.8,21.4,0.075,-4.0,-14.6,72803,15.5,-4.6,22.3,1,0,0,high,-14.8,38.06
2024-08-08,3,8,18.2,13.8,23.8,10.9,33.8,24.6,3.431,2447.4,2463.1,15.7,24.6,0.89,6.0,9.7,90472,21.9,-18.8,21.4,1,0,0,high,9.7,35.54
2024-08-09,4,8,12.6,-5.1,12.7,9.1,16.1,3.9,3.63,2469.2,2468.6,-0.6,16.5,0.521,-3.1,2.6,81590,6.1,15.7,24.6,1,0,0,high,2.5,34.86
2024-08-12,0,8,13.5,6.5,10.4,7.9,22.1,14.6,2.328,2483.9,2510.6,26.7,30.5,0.957,9.8,16.9,96656,15.3,-0.6,16.5,1,0,0,high,16.9,25.06
2024-08-13,1,8,18.6,-10.4,14.3,4.0,19.1,-6.5,2.809,2507.3,2506.9,-0.4,16.7,0.521,7.4,-5.0,62172,-3.3,26.7,30.5,1,0,0,high,-7.8,23.06
2024-08-14,2,8,17.7,1.5,18.9,1.7,25.2,2.9,3.054,2507.9,2485.5,-22.4,32.6,0.285,-11.7,-10.6,97902,1.0,-0.4,16.7,0,1,0,low,-10.7,21.94
2024-08-15,3,8,16.7,8.1,30.0,-15.2,30.0,-7.1,6.352,2478.5,2493.5,15.0,30.2,0.805,3.4,11.8,80661,-7.0,-22.4,32.6,0,1,0,low,11.6,24.18
2024-08-16,4,8,9.5,0.0,42.0,38.1,43.2,38.1,5.692,2530.6,2546.5,15.9,31.6,0.972,2.7,13.2,121746,37.1,15.0,30.2,1,0,0,high,13.2,25.3
2024-08-19,0,8,11.9,-3.1,21.4,-11.2,21.4,-14.2,3.977,2529.5,2543.9,14.4,22.1,0.914,3.4,11.1,64993,-17.0,15.9,31.6,0,0,0,none,0.0,28.32
2024-08-20,1,8,11.3,-1.9,28.7,24.8,32.9,22.8,3.815,2565.3,2553.2,-12.1,31.8,0.459,3.2,-15.2,98160,21.4,14.4,22.1,1,0,0,high,-15.3,26.64
2024-08-21,2,8,9.2,-0.6,12.2,-3.9,15.4,-4.4,2.367,2548.6,2549.5,0.9,29.1,0.732,-7.8,8.8,79745,-4.6,-12.1,31.8,0,1,0,low,8.7,29.66
2024-08-22,3,8,15.3,-6.9,14.8,-6.9,20.1,-13.8,3.066,2536.9,2518.4,-18.5,31.5,0.381,-13.4,-5.3,96608,-12.6,0.9,29.1,0,1,0,low,-5.1,28.96
2024-08-23,4,8,11.0,7.8,10.9,8.4,17.7,16.4,1.786,2536.9,2546.6,9.7,24.4,0.676,-3.1,12.7,99225,18.5,-18.5,31.5,1,0,0,high,12.8,29.22
2024-08-26,0,8,8.3,2.2,13.6,8.9,19.2,11.1,2.562,2559.5,2553.7,-5.8,16.2,0.469,-7.9,2.1,59653,12.9,9.7,24.4,1,0,0,high,2.1,27.78
2024-08-27,1,8,12.0,-2.6,14.2,-4.9,14.4,-7.5,3.898,2544.9,2560.4,15.5,22.5,0.956,2.9,13.0,73495,-8.8,-5.8,16.2,0,1,0,low,12.6,26.6
2024-08-28,2,8,26.4,-17.7,18.4,-7.8,36.5,-25.6,2.983,2535.3,2542.0,6.7,14.7,0.762,5.8,0.9,69063,-25.1,15.5,22.5,0,1,0,low,0.9,24.74
2024-08-29,3,8,14.8,9.7,21.3,-7.7,21.3,2.1,3.947,2542.5,2554.4,11.9,20.9,0.627,7.6,4.4,74674,0.5,6.7,14.7,1,0,0,high,4.3,21.86
2024-08-30,4,8,11.9,-3.2,12.0,2.4,14.4,-0.9,3.107,2553.0,2534.7,-18.3,26.4,0.307,-4.0,-14.1,90437,-1.4,11.9,20.9,0,1,0,low,-7.4,19.74
2024-09-03,1,9,6.7,3.4,22.2,-4.7,22.2,-1.2,3.764,2525.3,2523.6,-1.7,24.6,0.78,-13.7,11.9,92833,-9.4,-18.3,26.4,0,1,0,low,12.0,20.14
2024-09-04,2,9,13.7,-9.0,19.8,2.0,25.7,-7.1,4.712,2517.4,2524.3,6.9,18.7,0.615,-1.0,8.1,80179,-6.2,-1.7,24.6,1,0,0,high,-2.9,21.82
2024-09-05,3,9,13.4,8.8,21.1,13.9,30.3,22.6,3.095,2548.1,2545.2,-2.9,17.2,0.669,-3.4,0.3,67828,23.8,6.9,18.7,1,0,0,high,0.5,21.06
2024-09-06,4,9,9.1,3.3,22.5,3.1,22.5,6.2,2.393,2552.4,2525.4,-27.0,39.3,0.293,-13.1,-13.7,146940,7.2,-2.9,17.2,1,1,1,both_same_hour,-13.9,21.56
2024-09-09,0,9,15.3,-8.5,15.8,11.4,19.3,3.0,3.684,2530.1,2535.1,5.0,13.6,0.949,-1.1,6.2,60012,4.7,-27.0,39.3,0,0,0,none,0.0,25.24
2024-09-10,1,9,6.9,-1.8,14.1,8.5,14.1,6.6,2.812,2542.8,2546.3,3.5,17.8,0.933,-6.9,10.5,83675,7.7,5.0,13.6,1,0,0,high,10.4,22.68
2024-09-11,2,9,14.4,10.1,26.1,-17.3,27.3,-7.1,4.151,2537.9,2541.5,3.6,17.4,0.569,0.5,3.3,88948,-8.4,3.5,17.8,1,0,0,high,-2.6,21.32
2024-09-12,3,9,11.3,3.9,23.2,12.3,25.4,16.3,3.541,2556.7,2586.2,29.5,37.7,0.96,17.1,12.4,137204,15.2,3.6,17.4,1,0,0,high,12.4,21.06
2024-09-13,4,9,14.0,9.4,12.6,8.8,19.0,18.2,2.574,2603.9,2611.0,7.1,13.2,0.742,1.9,5.4,83217,17.7,29.5,37.7,1,0,0,high,5.2,25.16
2024-09-16,0,9,11.1,4.7,13.7,-2.3,14.9,2.4,2.847,2612.0,2609.9,-2.1,13.1,0.473,3.8,-5.8,50846,1.0,7.1,13.2,1,0,0,high,-5.9,19.94
2024-09-17,1,9,12.5,0.9,17.8,-6.6,18.8,-5.8,3.543,2604.7,2595.4,-9.3,22.2,0.365,-4.2,-5.0,69714,-5.2,-2.1,13.1,0,1,0,low,-5.1,19.84
2024-09-18,2,9,11.0,-1.9,13.0,7.3,15.4,5.7,2.719,2602.8,2575.0,-27.8,54.7,0.046,-4.3,-23.5,160993,7.4,-9.3,22.2,1,1,1,high,-26.9,20.72
2024-09-19,3,9,28.2,16.7,22.4,1.0,45.2,17.6,5.921,2600.2,2613.3,13.1,23.9,0.795,-0.1,13.4,79442,25.2,-27.8,54.7,0,0,0,none,0.0,28.18
2024-09-20,4,9,23.8,18.3,17.5,10.1,36.2,28.7,3.343,2640.9,2646.1,5.2,23.5,0.791,-9.0,14.2,106480,27.6,13.1,23.9,1,0,0,high,14.2,25.42
2024-09-23,0,9,15.4,4.2,14.4,2.7,17.5,6.8,3.745,2651.9,2651.0,-0.9,9.4,0.064,4.7,-5.6,82064,5.8,5.2,23.5,1,0,0,high,-5.6,27.48
2024-09-24,1,9,16.1,1.0,13.9,4.6,17.5,5.9,4.863,2658.1,2687.7,29.6,33.6,0.949,2.1,27.4,109249,7.1,-0.9,9.4,1,0,0,high,27.5,26.74
2024-09-25,2,9,17.1,-4.5,11.1,4.3,20.7,0.1,3.971,2683.8,2683.8,0.0,18.5,0.562,5.2,-4.9,99143,-3.9,29.6,33.6,1,0,0,high,-5.2,29.02
2024-09-26,3,9,8.2,2.6,26.3,15.6,30.2,18.4,3.737,2700.4,2696.6,-3.8,25.3,0.755,-16.9,13.1,103874,16.6,0.0,18.5,1,0,0,high,13.1,21.78
2024-09-27,4,9,12.0,-6.8,15.9,4.6,15.9,-2.3,2.701,2692.5,2674.5,-18.0,28.3,0.325,-3.6,-14.3,108010,-4.1,-3.8,25.3,0,1,0,low,2.7,22.06
2024-09-30,0,9,18.9,-4.8,26.6,-19.1,31.9,-23.8,4.836,2660.8,2652.8,-8.0,17.4,0.379,-3.7,-4.2,75076,-13.7,-18.0,28.3,0,1,0,low,-4.3,23.02
2024-10-01,1,10,11.4,10.0,15.4,6.6,22.9,16.7,1.632,2673.2,2679.9,6.7,25.2,0.413,16.6,-10.9,136270,20.4,-8.0,17.4,1,0,0,high,-9.9,24.62
2024-10-02,2,10,17.8,-12.5,12.0,0.2,18.3,-12.3,3.071,2670.8,2679.8,9.0,22.7,0.78,10.0,-1.2,65307,-9.1,6.7,25.2,0,1,0,low,10.6,22.94
2024-10-03,3,10,11.6,-3.3,15.9,-13.8,22.6,-17.0,3.394,2662.6,2677.9,15.3,24.6,0.817,5.0,10.6,76784,-17.2,9.0,22.7,0,1,0,low,10.3,23.78
2024-10-04,4,10,13.8,4.7,31.6,-21.4,36.1,-17.0,6.588,2658.4,2671.6,13.2,33.5,0.433,13.5,-0.3,111524,-19.5,15.3,24.6,1,1,1,low,-0.3,23.64
2024-10-07,0,10,12.9,-7.5,21.9,-3.0,21.9,-10.5,5.64,2659.7,2662.5,2.8,14.5,0.262,2.5,0.3,60373,-11.9,13.2,33.5,0,0,0,none,0.0,24.68
2024-10-08,1,10,14.6,-7.4,25.1,9.6,25.1,2.0,5.205,2665.1,2641.9,-23.2,43.5,0.425,-6.4,-16.9,126193,2.6,2.8,14.5,0,1,0,low,-16.8,24.1
2024-10-09,2,10,14.1,-9.6,13.4,6.3,15.3,-3.5,2.764,2637.4,2627.5,-9.9,16.5,0.285,-9.4,-0.6,70047,-4.5,-23.2,43.5,0,1,0,low,-0.8,27.76
2024-10-10,3,10,10.8,3.8,25.6,12.3,25.6,16.1,4.047,2642.2,2646.5,4.3,16.6,0.861,2.0,2.3,114596,14.7,-9.9,16.5,1,0,0,high,2.3,26.52
2024-10-11,4,10,19.3,11.1,14.2,3.7,21.8,14.7,3.585,2660.7,2672.9,12.2,19.0,0.679,6.2,6.1,77001,14.2,4.3,16.6,1,0,0,high,6.0,24.92
2024-10-14,0,10,24.2,14.0,16.3,-12.8,24.2,1.2,3.463,2668.2,2669.3,1.1,17.7,0.492,3.9,-3.0,51158,-4.7,12.2,19.0,0,0,0,none,0.0,22.02
2024-10-15,1,10,14.9,-1.5,12.0,-0.2,19.9,-1.7,3.168,2664.7,2678.3,13.6,23.1,0.671,0.2,13.2,82871,-4.6,1.1,17.7,1,0,0,high,1.9,22.66
2024-10-16,2,10,19.2,15.2,9.7,4.5,24.5,19.6,3.636,2698.2,2691.0,-7.2,19.4,0.407,-6.7,-0.6,77242,19.9,13.6,23.1,1,0,0,high,-0.5,18.58
2024-10-17,3,10,12.3,7.5,16.0,-1.0,16.0,6.5,3.744,2695.8,2707.2,11.4,19.7,0.721,8.5,2.8,86322,4.8,-7.2,19.4,1,0,0,high,2.9,19.16
2024-10-18,4,10,22.0,15.3,15.4,2.0,25.0,17.1,3.955,2724.7,2734.9,10.2,16.5,0.891,4.2,5.9,79221,17.5,11.4,19.7,1,0,0,high,6.0,19.78
2024-10-21,0,10,11.9,6.8,14.3,8.3,18.6,14.9,2.874,2753.5,2734.7,-18.8,26.9,0.23,0.3,-19.1,103877,18.6,10.2,16.5,1,0,0,high,-19.1,19.28
