date,side,entry,sl,tp,risk,pnl,R,reason,box_size,onight_trend,onight_range,month
2026-05-13,SHORT,4694.5,4698.6,4676.0,4.1,-4.1,-1.0,SL,8.6,-1,47.1,2026-05
2026-05-14,SHORT,4701.0,4707.8,4671.3,6.8,29.7,4.368,TP,8.0,1,54.5,2026-05
2026-05-15,SHORT,4537.3,4546.2,4513.8,8.9,-8.9,-1.0,SL,9.6,-1,112.1,2026-05
2026-05-18,SHORT,4546.3,4554.3,4533.1,8.0,-8.0,-1.0,SL,13.4,1,55.5,2026-05
2026-05-19,LONG,4501.6,4489.6,4562.7,12.0,-12.0,-1.0,SL,31.0,-1,95.6,2026-05
2026-05-20,SHORT,4505.2,4514.6,4458.6,9.4,-9.4,-1.0,SL,5.4,1,50.4,2026-05
2026-05-21,LONG,4520.0,4515.3,4544.2,4.7,-4.7,-1.0,SL,12.1,-1,55.9,2026-05
2026-05-22,SHORT,4523.6,4528.9,4508.2,5.3,-5.3,-1.0,SL,8.1,-1,29.4,2026-05
2026-05-26,SHORT,4506.2,4511.7,4500.2,5.5,6.0,1.091,TP,6.1,-1,43.4,2026-05
2026-05-27,LONG,4476.9,4470.9,4529.5,6.0,-6.0,-1.0,SL,22.0,-1,98.5,2026-05
2026-05-29,LONG,4561.0,4556.5,4574.4,4.5,-4.5,-1.0,SL,7.7,1,43.0,2026-05
2026-06-01,LONG,4491.2,4475.5,4555.4,15.7,21.8,1.389,EOD,11.7,-1,79.2,2026-06
2026-06-02,SHORT,4533.5,4537.3,4528.0,3.8,5.5,1.447,TP,5.1,1,43.3,2026-06
2026-06-03,SHORT,4473.6,4481.9,4454.0,8.3,3.0,0.361,EOD,7.5,-1,62.1,2026-06
2026-06-04,LONG,4512.0,4507.6,4543.2,4.4,-4.4,-1.0,SL,5.6,1,57.8,2026-06
2026-06-05,SHORT,4414.7,4436.0,4390.0,21.3,24.7,1.16,TP,12.2,-1,112.8,2026-06
2026-06-08,LONG,4344.3,4340.9,4371.5,3.4,-3.4,-1.0,SL,9.6,1,78.5,2026-06
2026-06-09,LONG,4325.0,4301.6,4388.6,23.4,-23.4,-1.0,SL,5.9,-1,44.1,2026-06
2026-06-10,LONG,4181.1,4175.2,4245.5,5.9,-5.9,-1.0,SL,11.3,-1,93.5,2026-06
2026-06-11,LONG,4081.6,4072.3,4133.6,9.3,52.0,5.591,TP,9.6,1,55.6,2026-06
2026-06-12,LONG,4211.6,4202.5,4249.6,9.1,-9.1,-1.0,SL,8.8,-1,58.5,2026-06
2026-06-15,LONG,4374.6,4370.1,4390.8,4.5,-4.5,-1.0,SL,12.8,1,69.2,2026-06
2026-06-16,SHORT,4345.1,4349.8,4334.2,4.7,-4.7,-1.0,SL,7.4,1,42.3,2026-06
2026-06-17,LONG,4360.7,4355.0,4365.5,5.7,4.8,0.842,TP,5.3,1,29.9,2026-06
2026-06-22,LONG,4209.6,4200.7,4233.7,8.9,-8.9,-1.0,SL,5.4,1,60.8,2026-06
2026-06-23,LONG,4154.6,4150.4,4164.8,4.2,-4.2,-1.0,SL,13.6,-1,56.6,2026-06
2026-06-24,LONG,4004.1,3996.1,4114.7,8.0,-8.0,-1.0,SL,22.3,-1,134.4,2026-06
2026-06-25,SHORT,4057.2,4060.5,3986.6,3.3,11.2,3.394,EOD,14.8,1,63.3,2026-06
2026-06-26,SHORT,4078.7,4085.0,4013.8,6.3,-6.3,-1.0,SL,9.2,1,79.3,2026-06
2026-06-29,SHORT,4039.5,4045.2,4038.1,5.7,1.4,0.246,TP,8.2,-1,45.1,2026-06
2026-06-30,SHORT,4065.4,4073.8,3981.3,8.4,32.9,3.917,EOD,8.2,1,70.5,2026-06
2026-07-02,LONG,4147.1,4122.1,4157.1,25.0,10.0,0.4,TP,20.2,1,91.9,2026-07
2026-07-06,SHORT,4152.7,4161.4,4143.3,8.7,-8.7,-1.0,SL,8.3,-1,44.0,2026-07
2026-07-07,LONG,4154.3,4151.3,4192.4,3.0,-3.0,-1.0,SL,7.9,1,64.7,2026-07
2026-07-08,SHORT,4071.5,4076.9,4050.0,5.4,21.5,3.981,TP,13.5,-1,94.7,2026-07
2026-07-09,SHORT,4136.6,4141.3,4065.9,4.7,-4.7,-1.0,SL,9.8,1,73.7,2026-07
